"ctryName","ctryCode","lifeExp","icsrMean","contig","dist","internetUserPer100","migrantStockPctPop","lfpMale","unempYthTotILO","fh_cl","fh_pr","sunnipct","shiapct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop15.24","religious.frac","lnHomicidesPer100k","lnpopDensity","lnpop","lnarea","lngdppcPPP","lnrefugeesUnhcr","lnrefugeeOrigin"
"Burundi","BDI",54.097195122,0,0,4168.7353515625,1.3,0.658200214,82.8000030518,10.6999998093,5,5,2.145,0.055,0,0,0,19.3,0.5158,2.07944154167984,5.98075042386076,16.1342181816647,10.1534677578039,6.61601183890056,10.850035871571,11.1934361978693
"Cambodia","KHM",71.7475609756,0,0,6577.49609375,6,2.3378392837,88,0.6999999881,5,6,1.592,0.008,3.889,8.667,2.667,20.5,0.0965,1.87180217690159,4.45134220316339,16.5325316665467,12.0811894633835,7.98736300905216,4.39444915467244,9.52864863796972
"Cameroon","CMR",55.041804878,0,0,4184.38525390625,6.4,0.9530970271,77,7.4000000954,6,6,17.91,0.09,0.833,0,3.667,19.6,0.7338,2.02814824729229,3.8517931117092,16.9180304833327,13.0662373716242,7.91547373450839,11.7206791982082,9.34504607482847
"Canada","CAN",81.4011219512,100,0,9254.029296875,85.8,21.1800675389,81.5999984741,13.8000001907,1,1,2.786,0.014,1.389,4.633,6,12.7,0.6958,0.470003629245736,1.35218537399131,17.3752569042314,16.0230715302352,10.643014431556,12.1144944930405,4.60517018598809
"Central African Republic","CAF",50.136804878,0,0,3724.06713867188,3.5,1.85042441,85.5,12.5,5,5,8.8555,0.0445,3.889,1.833,3.667,20.1,0.7916,2.46809953147162,2.00285972651745,15.3451294210448,13.3422696945256,6.37054451551493,9.7385539453434,12.4406110284583
"Chad","TCD",51.1590731707,0,0,3214.42749023438,2.3,3.3125011038,79.1999969482,10.8000001907,6,7,55.4215,0.2785,6.389,5.4,5.667,20.6,0.6411,1.98787434815435,2.32094427550526,16.3669314321522,14.0459871566453,7.61164132638199,12.9826184348847,10.7922837501009
"Chile","CHL",79.836804878,0,0,13413.08984375,66.5,1.8681212961,79.5999984741,16.1000003815,1,1,0.0995,5e-04,0,6.933,2.667,16.3,0.3841,1.1314021114911,3.16536152262558,16.6845286062578,13.5191670836334,9.98571394606743,7.68017564043659,6.39024066706535
"China","CHN",75.3530243902,300,0,6298.4443359375,45.8,0.0512650398,84,10.1000003815,6,7,1.791,0.009,9.167,2,4.333,14.7,0.6643,0,4.97385689687409,21.028822208075,16.0549653112011,9.3522363406152,12.6162864606605,12.1814571549658
"Colombia","COL",73.9788292683,0,0,11684.052734375,51.7,0.2374797711,82.4000015259,20.5,4,3,0.0995,5e-04,2.222,8,8.333,18,0.1478,3.42751468997953,3.77396516680057,17.6933851881549,13.9194200213548,9.39477514201506,5.69035945432406,12.8907717413001
"Comoros","COM",60.8574878049,0,0,5009.9931640625,6.5,1.9799994437,80.5,10.6999998093,4,3,97.8085,0.4915,9.444,6.733,10,18.8,0.0137,2.30258509299405,5.97864359000624,13.5075128466484,7.52886925664225,7.24407096651797,NA,6.24416690066374
"Congo, Dem. Rep.","ZAR",49.9438536585,0,0,4753.19677734375,2.2,0.7150083595,73.5,14.3000001907,6,6,1.592,0.008,2.222,2.9,6,21.4,0.7021,3.34286180464919,3.3938507727121,18.0278407575399,14.6339899848265,6.66346374409829,11.6511558002512,13.1214449557843
"Congo, Rep.","COG",58.77,0,0,4749.80859375,6.6,3.4828046205,74.0999984741,10.6999998093,5,6,1.393,0.007,0,0,1.667,17.7,0.6642,2.52572864430826,2.56677941968338,15.307882377677,12.741102957993,8.64474700081527,10.8909634178008,9.37169362233394
"Costa Rica","CRI",79.921,0,0,12092.0361328125,45.96,10.4761027778,84,18.2000007629,1,1,0.1,0,1.389,8.1,4.333,17.5,0.241,2.14006616349627,4.55829246924569,15.399049160041,10.8407566907955,9.50530162730639,9.96109586515644,6.13556489108174
"Cote d'Ivoire","CIV",50.7574146341,0,0,5212.95458984375,2.6,12.6825380832,82,5.6999998093,5,5,36.7155,0.1845,0.833,4.533,5.333,21,0.7551,2.61006979274201,4.15711688224904,16.8269235440111,12.6698066617623,8.0415638112728,8.18535022317869,11.3589464370766
"Croatia","HRV",77.1268292683,0,0,2205.98291015625,66.7476,15.8438591682,69.5,51.5,2,1,1.2935,0.0065,0,7.933,6,12.1,0.4447,0.182321556793955,4.33137739001809,15.2637698187974,10.9323924287794,9.90593391570312,6.79682371827486,10.8149667274131
"Cuba","CUB",79.2392682927,0,0,10989.9755859375,25.7089320853,0.1352536234,79.8000030518,6.9000000954,6,7,0.0995,5e-04,7.778,0,0,13.6,0.5059,1.43508452528932,4.66193024186021,16.2372669669519,11.5753367250916,9.84140960294244,5.95583736946483,8.9130119224726
"Cyprus","CYP",79.8043170732,0,0,328.732757568359,65.4548,13.9761797977,79.5,36.9000015259,1,1,22.5865,0.1135,0.833,6.6,0.667,15.3,0.3962,0.693147180559945,4.81626394004167,13.9475611046775,9.13129716463573,10.2180770930831,8.78492762605832,2.30258509299405
"Czech Republic","CZE",78.2780487805,0,0,2571.67724609375,74.1104,4.3252173631,80.4000015259,18.7999992371,1,1,0.0995,5e-04,0,4.7,2.667,10.6,0.6591,0,4.91370086873153,16.1682441302951,11.2545432615633,10.2443950986244,8.10076824307173,6.89871453432999
"Denmark","DNK",80.3024390244,125,0,3070.32543945312,94.6297,8.7192076404,80.5,13,1,1,3.9975,0.1025,0.833,8.1,3.333,13.1,0.2333,-0.22314355131421,4.88532909746625,15.5409400356628,10.6556109381964,10.6568529771817,9.60305790726184,2.30258509299405
"Djibouti","DJI",61.7869512195,0,0,2422.43505859375,9.5,13.6860998806,70.5,NA,5,6,96.515,0.485,1.667,3.733,9.333,22,0.0435,2.31253542384721,3.62856782256922,13.6796129394627,10.0510451168937,7.97334364615668,10.077902937759,6.63594655568665
"Dominican Republic","DOM",73.4509512195,0,0,10298.6669921875,45.9,4.3361465746,82.6999969482,29.8999996185,2,2,0.0995,5e-04,0,8,0,18.5,0.3118,3.09557760852371,5.37207710074439,16.157677933353,10.7856008326087,9.37547088752922,7.34342622914737,5.72358510195238
"Ecuador","ECU",76.4650731707,0,0,12312.4052734375,40.3536842279,2.6240857987,85.5,10.1000003815,3,3,0.0995,5e-04,0.833,0,0,18.6,0.1417,2.51769647261099,4.1489463906303,16.571580976109,12.4226345854788,9.26299518890319,11.8114955473286,6.56103066589657
"Egypt, Arab Rep.","EGY",71.1329268293,360,0,614.063049316406,49.56,0.3134316879,79.0999984741,38.9000015259,5,5,94.2265,0.4735,8.611,7.933,6,17.8,0.1979,1.22377543162212,4.41196693036085,18.2229171055689,13.8109501752079,9.28112392004029,12.4421166273169,9.45985317831046
"El Salvador","SLV",72.3389268293,0,0,12228.7314453125,23.1093,0.6484840054,82.1999969482,12.1000003815,3,2,0.0995,5e-04,0,2,0,20.8,0.3559,3.71843825635548,5.72360623630911,15.6624609326824,9.93885469637342,8.92466730097923,3.91202300542815,9.17346889720028
"Equatorial Guinea","GNQ",53.1145609756,0,0,4371.75732421875,16.4,1.0697145943,94,12.5,7,7,4.0795,0.0205,0.833,5.733,0,19.5,0.1195,2.96010509591084,3.29539311535416,13.5371370263041,10.2417439109508,10.3946734424502,NA,5.29831736654804
"Eritrea","ERI",62.7546341463,0,0,2038.37219238281,0.9,0.2871197262,90.5999984741,10.8000001907,7,7,36.3175,0.1825,9.167,4.267,7.333,20.2,0.4253,1.96009478404727,4.1384301363595,15.6613059321828,11.5228757958234,7.05386359954719,8.06148686687133,12.6379264879762
"Estonia","EST",76.4243902439,0,0,3007.7734375,80.0043,13.7038998104,78.9000015259,18.2999992371,1,1,0.0995,5e-04,0,2,2.667,11.2,0.4985,1.6094379124341,3.43695595351793,14.091623717866,10.6546677643467,10.1367306196599,4.56434819146784,5.8636311755981
"Ethiopia","ETH",63.6173414634,0,0,2733.47705078125,1.9,0.6291776015,90.1999969482,8,6,6,33.631,0.169,2.222,5.6,6,19.9,0.6249,2.484906649788,4.54436608056544,18.3598766385297,13.8155105579643,7.19723494122283,12.9828047143665,11.2530919953382
"Fiji","FJI",69.923,0,0,15164.94921875,37.1,2.1536001599,74.3000030518,19.2000007629,4,6,6.2685,0.0315,1.667,0,8.667,17.1,0.5682,1.38629436111989,3.87587103262016,13.6888866819924,9.81301564937205,8.92289966112448,2.70805020110221,7.01391547481053
"Finland","FIN",80.8317073171,60,0,3077.13452148438,91.5144,4.207182374,77.5,19.6000003815,1,1,0.796,0.004,0,6.267,2.667,12.1,0.2531,0.470003629245736,2.88467955758592,15.5091006303867,12.6244210728024,10.5667120266362,9.45602788772529,2.07944154167984
"France","FRA",81.9682926829,1200,0,3280.6923828125,81.9198,10.2807120579,75.3000030518,23.7000007629,1,1,7.3125,0.1875,1.667,6.133,6,11.9,0.4029,0,4.79102461346386,18.0042537634554,13.2132291499917,10.5245156022654,12.5575038651459,4.58496747867057
"Gabon","GAB",63.441,0,0,4634.50830078125,9.2,18.2574851146,67.1999969482,35.2000007629,5,6,9.6515,0.0485,1.389,0,0,20.3,0.6674,2.2082744135228,1.86992323536523,14.3293582107971,12.4594349754284,9.83340675810585,8.30176976311717,5.17614973257383
"Gambia, The","GMB",58.8313414634,0,0,5777.05322265625,14,17.2615194212,82.8000030518,10.6999998093,6,6,94.8235,0.4765,0,2.367,5,21,0.097,2.32238772029023,5.20804069302164,14.4303096358629,9.22226894284146,7.38282604791343,9.16576132857822,8.14148104145742
"Georgia","GEO",74.0795121951,0,0,933.668640136719,43.1,3.7564902982,78.8000030518,31,3,3,8.4,2.1,1.667,7.433,7.333,14,0.6543,1.45861502269952,4.36086675865887,15.3167394571763,11.1489381363084,8.84365713749814,7.08002649992259,8.82055174325303
"Germany","DEU",81.043902439,550,0,3093.48559570312,83.9614,13.1553740156,82.6999969482,7.8000001907,1,1,4.375,0.625,2.222,7.267,8,10.6,0.6571,-0.22314355131421,5.44414430585757,18.2056525860724,12.7615082802146,10.6662467717117,12.6858687961481,5.16478597392351
"Ghana","GHA",61.0986341463,0,0,4891.21240234375,12.3,7.6322860156,72,8.6999998093,2,1,16.0195,0.0805,0,0,0,18.7,0.7987,1.80828877117927,4.7348497137774,17.0699310398709,12.3350813260937,8.2594661634113,9.92905782864766,9.97011763483389
"Greece","GRC",80.6341463415,0,0,1240.67712402344,59.8663,10.1564412244,77.5,58.4000015259,2,2,4.1125,0.5875,2.5,7.933,8,9.8,0.153,0.53062825106217,4.44911496546103,16.2159071543882,11.7667921889273,10.0984398219305,10.8839917527239,4.52178857704904
"Guatemala","GTM",71.9928292683,0,0,12258.068359375,19.7,0.4145778679,90.0999984741,4.8000001907,4,3,0.0995,5e-04,0,0.667,0,22.1,0.3753,3.68637632389582,4.97221873183331,16.5542970554918,11.5820783236585,8.86255871878285,5.17048399503815,8.79709507654906
"Guinea","GIN",56.0916585366,0,0,5935.603515625,1.6,3.6277657488,79.5,1.5,5,5,83.779,0.421,0,3.4,0.667,19.5,0.2649,2.18605127673809,3.86700631262236,16.2789542678997,12.4119479552779,7.1007596811405,9.09110628405248,9.58836576432557
"Guinea-Bissau","GNB",54.2717073171,0,0,5782.4609375,3.1,1.2128897584,79.5999984741,11.3000001907,5,6,42.586,0.214,0,0,0,20.2,0.6128,2.12823170584927,4.10440227713778,14.3486386230626,10.2442363459246,7.21663005623923,9.06473639811739,7.11963563801764
"Guyana","GUY",66.207902439,0,0,10014.9970703125,33,1.4754632209,82.5,23.8999996185,3,2,7.164,0.036,0,0,0,21,0.7876,2.83321334405622,1.40168584323726,13.5918831396053,12.1901972963719,8.7539950735909,2.484906649788,6.68461172766793
"Haiti","HTI",63.0588536585,0,0,10509.861328125,10.6,0.3533203993,71.8000030518,17.3999996185,5,4,0.0995,5e-04,0,0,1,21.6,0.4704,2.32238772029023,5.92522753548856,16.1493482606163,10.2241207251276,7.40755988586844,2.63905732961526,10.5625607527623
"Honduras","HND",73.8030487805,0,0,12045.0400390625,17.8,0.3194245949,84.5999984741,7.6999998093,4,4,0.0995,5e-04,0,0,0,21.2,0.2357,4.50424426739813,4.28181762199899,15.9070891468004,11.6252715248018,8.3995961256441,3.66356164612965,8.10198073185319
"Hong Kong SAR, China","HKG",83.8317073171,0,0,6851.46728515625,74.2,39.0336266052,78.6999969482,9.1000003815,NA,NA,1.3,0,0,2.333,0,11.5,0.4191,-0.916290731874155,8.83130852093617,15.7878539640877,6.95654544315157,10.8495091765683,7.5999019592085,3.2188758248682
"Hungary","HUN",75.2682926829,0,0,2126.6328125,72.6439,3.6807515343,70.4000015259,27,2,1,0.2985,0.0015,0,2.833,2,11.7,0.5244,0.262364264467491,4.69399229604158,16.1074288625107,11.4134365664695,10.0304114340284,8.37262974022488,7.1066061377273
"India","IND",66.4562439024,0,0,3158.91723632812,15.1,0.4508875967,82.5,10.5,3,2,12.775,1.825,4.722,6.2,10,18.1,0.326,1.25276296849537,6.04297359336329,20.9481196018114,14.9051460084481,8.56483165638946,12.1656203743205,9.30946146284399
"Indonesia","IDN",70.8174390244,0,0,7891.08544921875,15.82,0.0510677227,86.3000030518,21.6000003815,3,2,87.6595,0.4405,6.389,7.933,10,17.1,0.234,-0.510825623765991,4.92672942475456,19.3364338553345,14.4097044305801,9.13285678974726,9.24154829910038,9.60143606611705
"Iran, Islamic Rep.","IRN",74.0687560976,0,1,692.38525390625,31.4,2.8587414031,76.6999969482,29.7000007629,6,6,7.47750000000001,92.2225,10,8.333,10,18.7,0.1152,1.41098697371026,3.8619059523049,18.1651065586325,14.3032006063281,9.62179068098661,13.6616621657768,11.225816561559
"Ireland","IRL",81.043902439,30,0,4001.89770507812,78.2477,19.7061284101,76.9000015259,26.7000007629,1,1,0.8955,0.0045,0,1.833,1.667,11.9,0.155,0.182321556793955,4.20076954234605,15.341035850933,11.1402663085872,10.7065476787029,9.35088461696849,2.19722457733622
"Israel","ISR",82.056097561,60,1,214.219329833984,70.8,38.5709376148,75.8000030518,10.6999998093,2,1,17.6115,0.0885,3.889,7.533,10,15.7,0.3469,0.587786664902119,5.92006334485882,15.9023620778191,9.98229873296042,10.3393799883437,10.8773299542483,6.94985645500077
"Italy","ITA",82.2902439024,80,0,2285.74731445312,58.4593,7.5297022473,74.0999984741,39.7000007629,1,2,2.535,0.065,0,5.633,3.333,9.8,0.3027,-0.105360515657826,5.32193554814702,17.9137466716015,12.5918111234543,10.4318650318379,11.4066534228873,4.18965474202643
"Jamaica","JAM",73.4689268293,0,0,10920.18359375,37.8,1.113487913,74.3000030518,35.5,3,2,0.0995,5e-04,0,0,0,21.7,0.616,3.67122451887522,5.52412919233798,14.8142045323331,9.29007533999504,9.06038902823807,3.13549421592915,7.31521838975297
"Japan","JPN",83.3319512195,0,0,8356.1025390625,86.25,1.6992418209,84.5999984741,6.8000001907,2,1,0.0995,5e-04,0,0,6,9.7,0.5406,-1.20397280432594,5.85591397728082,18.6623604032186,12.8064464259378,10.4805028030024,9.14066869872686,5.05624580534831
"Jordan","JOR",73.9014146341,1500,1,176.207427978516,44.2,49.1727257691,69.5999984741,33.7000007629,5,6,98.306,0.494,9.444,9.333,3.333,20.4,0.0659,0.693147180559945,4.28722319737101,15.6811398757588,11.393916678388,9.34178423744073,13.3790391855466,7.39756153552405
"Kazakhstan","KAZ",70.45,250,0,3023.92626953125,54,18.8676023481,82.4000015259,4.5,5,6,56.118,0.282,7.778,1.2,2.333,16.1,0.5898,2.05412373369555,1.84214553848548,16.6507967521814,14.8086512136901,10.0199220802281,6.49526555593701,7.66669020008009
"Kenya","KEN",61.6839756098,0,0,3871.73583984375,39,1.9989320738,72.9000015259,17.1000003815,4,4,6.825,0.175,0,4.933,3,18.7,0.7765,1.85629799036563,4.3558247590708,17.6077064876087,13.2518817285384,7.90297667328827,13.2831616273818,9.05823759376623
"Korea, Dem. Rep.","PRK",69.8069512195,0,0,7086.92041015625,0,0.15151107,87,9.8999996185,7,7,0.0995,5e-04,9.167,0,0,16.3,0.4891,1.64865862558738,5.33153895396631,17.0301968188527,11.6986578648863,NA,NA,7.06133436691044
"Korea, Rep.","KOR",81.4597560976,0,0,7250.94091796875,84.77,1.0823983777,76.0999984741,9.1999998093,2,1,0.199,0.001,0,5.5,0.667,13.5,0.6604,-0.105360515657826,6.24584930987197,17.7319173206724,11.4860680108003,10.3953782600467,7.98820359702258,6.21460809842219
"Kosovo","KSV",70.7975609756,125,0,1694.97265625,NA,NA,NA,NA,4,5,86.04,9.56,1.667,5.467,6,18.1,NA,1.28093384546206,5.12121775373519,14.4165424496164,9.29532469588118,9.05934997490658,NA,NA
"Kuwait","KWT",74.4627560976,70,1,559.5185546875,75.46,70.1143542877,84.9000015259,19.6000003815,5,5,66.96,19.44,7.222,8.667,3.667,15.3,0.6745,-0.916290731874155,5.24192277262872,15.0299994736535,9.7880767010248,11.318828742407,7.41818082272679,6.88448665204278
"Kyrgyz Republic","KGZ",70.2024390244,100,0,2828.95166015625,23.4,4.0883826796,82.5,15.6000003815,5,5,88.356,0.444,2.222,0.667,5.667,18.8,0.447,2.2082744135228,3.3952009894101,15.5594094308408,12.1642084414315,8.04231781970986,6.73933662735717,7.74543561027438
"Lao PDR","LAO",68.2494146341,0,0,6005.212890625,12.5,0.2957606134,81.0999984741,3.4000000954,6,7,0.0995,5e-04,7.778,7.333,8,21.3,0.5453,1.77495235091167,3.37866450549641,15.7279713191123,12.3493068136161,8.44834460784752,NA,8.95480275285097
"Latvia","LVA",73.9804878049,0,0,2770.36547851562,75.2344,15.9720245715,78,20.2999992371,2,2,0.07,0.03,1.667,6.2,2.333,11,0.5556,1.54756250871601,3.47717264547141,14.5149613290856,11.0377886836127,9.99115820447804,5.87211778947542,5.4510384535657
"Lebanon","LBN",80.1288780488,900,1,85.9413528442383,70.5,17.4648913223,76.0999984741,20.6000003815,4,5,29.85,29.85,3.056,6.933,10,17.2,0.7886,0.78845736036427,6.07923504449505,15.3123149034406,9.23307985894567,9.71853867640504,13.6633157974125,8.24905227417129
"Lesotho","LSO",49.3314634146,0,0,7053.11376953125,5,0.314994965,74.5999984741,33.2000007629,3,2,0.0995,5e-04,0,1.167,0,19.9,0.7211,3.63758615972639,4.22433261556761,14.5452138470774,10.3208812315096,7.82148823619369,3.43398720448515,2.70805020110221
"Liberia","LBR",60.5318780488,0,0,5709.6591796875,4.6,2.4333057941,65.0999984741,4.5,4,3,12.736,0.064,0,3.167,3.667,17.9,0.4883,1.16315080980568,3.79731592871652,15.2727471892582,11.4754312605426,6.7450374170352,10.8838416926996,9.77428961406445
"Libya","LBY",75.3616829268,600,0,2159.88818359375,16.5,11.2982260738,79.5999984741,51.2000007629,5,4,96.117,0.483,8.611,7.4,4,18.2,0.057,0.53062825106217,1.25974217328791,15.6403051425093,14.3805629692165,9.92187827232528,10.3787896202331,8.10832229017324
"Lithuania","LTU",74.1634146341,0,0,2509.3505859375,68.4529,4.1602605123,75.9000015259,21.8999996185,1,1,0.085,0.015,0,7.933,5.333,12.5,0.4141,1.90210752639692,3.85421681054477,14.8999187781183,11.0457019675741,10.1051877292987,6.89871453432999,5.39362754635236
"Luxembourg","LUX",81.7975609756,0,0,3052.8095703125,93.7765,34.1712150831,75.0999984741,19.2000007629,1,1,2.2885,0.0115,0,7.933,0,12.7,0.0911,-0.22314355131421,5.34611420797145,13.2055273626651,7.85941315469358,11.3947047802933,7.57044325205737,0
"Macedonia, FYR","MKD",75.1880243902,12,0,1609.4931640625,61.2,6.1697275637,77,52.2000007629,3,3,34.7255,0.1745,0,3.733,5.667,14.1,0.5899,0.336472236621213,4.42545806859067,14.5608506781096,10.1353926095189,9.35953326547665,7.6377164326648,7.39817409297047
"Madagascar","MDG",64.6913902439,0,0,5818.94921875,2.2,0.1791405995,91.3000030518,5.1999998093,4,6,1.0945,0.0055,1.389,2.233,0,20.6,0.5191,2.40694510831829,3.67385864564232,16.9477320766309,13.2738734309877,7.22156728088878,2.56494935746154,5.69035945432406
"Malawi","MWI",55.2347073171,0,0,5289.66357421875,5.4,1.8373293075,80.6999969482,13.5,4,3,12.736,0.064,0,1.567,0,20.2,0.8192,0.587786664902119,5.15648242687042,16.6105067839207,11.4540243570501,6.62669387514682,9.7371968128147,5.78689738136671
"Malaysia","MYS",75.0162682927,0,0,6816.01953125,66.97,8.3378722503,79.0999984741,11.1000003815,4,4,60.786,0.614,8.611,8.267,8.333,16.9,0.6657,0.853070908062279,4.50478434048815,17.2072286528146,12.702444312326,10.0252347847056,11.8533399208241,6.18414889093748
"Mali","MLI",55.0135121951,0,0,5042.62109375,2.3,1.1631449566,81.9000015259,10.6999998093,5,7,91.938,0.462,0,0,0,19,0.182,2.01490302054226,2.52895408139693,16.5434712236853,14.0145171422885,7.37096547759175,9.58946150474475,11.9373039161897
"Mauritania","MRT",61.5117560976,0,0,5448.36865234375,6.2,2.7491674563,80.1999969482,42.9000015259,5,6,98.704,0.496,7.778,8.333,2,20,0.0149,1.6094379124341,1.32814012576424,15.1738888667898,13.8457487410249,7.98794204533846,11.4469245417104,10.4416462023698
