"ctryName","ctryCode","iso2","year","internetSubPer100","internetUserPer100","internetServerPerMil","area","popDensity","telephonePer100","cellPer100","lifeExp","imr","gdppcPPP","pop","popUrbPct","unempYthMaleILO","unempYthTotILO","unempTotILO","lfpMale","lfpTot","secondaryEnroll","healthExpGDP","milExpGDP","secondExpPerStudent","homicidesPer100k","battleRelDeaths","milPersonnelOfLabor","migrantStockPctPop","refugeeAsylum","refugeeOrigin","icsrLow","icsrHigh","icsrMean","contig","dist","muslim.pop","muslimpct","fh_cl","fh_pr","fh_status","ccodecow","cname","fh_aor","fh_ep","fh_feb","fh_fog","fh_ipolity2","fh_pair","fh_polity2","fh_ppp","fh_rol","pctmusShia","shiapct","sunnipct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65","n.attacks","n.kill","n.attacks.post11","n.kill.post11","religious.frac","ethnic.frac","language.frac","refugeesUnhcr"
"Bangladesh","BGD","BD",2014,0.9722171011,6.5,0.8579737939,130170,1203.0034723823,0.6911767698,74.4296460827,70.6933902439,33.2,2853.4477401557,156594962,32.753,9,9.1999998093,4.3000001907,86.5999984741,73.5999984741,53.648891449,1.3141929175,1.1845212437,13.9342298508,2.7,NA,0.2846938387,0.7181747485,231145,9839,0,0,0,0,4580.39404296875,"148607000",90.4,4,3,2,771,"Bangladesh",7,9,9,5,"6.09441089630127",9,"",11,6,0.5,0.452,89.948,6.111,4.167,10,32.3,18.8,38,5.9,5,268,89,268,89,0.209,0.0454,0.0925,231154
"Belarus","BLR","BY",2014,29.764516851,54.17,44.7887921885,202910,46.6512246809,47.7584031427,118.7861760338,72.4707317073,3.7,17054.5583344525,9466000,75.877,12,12.1999998093,5.8000001907,70.1999969482,66.0999984741,105.1209335327,3.9661785226,1.3461388302,NA,5.1,NA,3.5191300354,11.4897576396,604,4444,0,0,0,0,2369.23071289062,"19000",0.2,6,7,3,370,"Belarus",1,0,3,1,"1.13145077228546",5,"",3,1,0.5,0.001,0.199,7.778,3,10,15.4,11.7,45.5,13.3,14.2,8,13,8,13,0.6116,0.3222,0.4666,690
"Belgium","BEL","BE",2014,34.3950763638,82.1702,854.0256501603,30280,369.3136393659,41.3923358473,110.9031799429,80.3853658537,3.5,40608.9720093428,11182817,97.776,24.1000003815,23.1000003815,8.3999996185,72.5,67.3000030518,107.2616119385,8.4791157133,1.0028788492,38.577331543,1.6,NA,0.7578773775,8.926966288,25633,78,NA,NA,440,0,3226.32666015625,"638000",6,1,1,1,211,"Belgium",12,12,15,12,"10",15,"",16,15,0.5,0.03,5.97,0.833,7.6,5.333,15.6,11.7,40.4,13.3,19,3,1,3,1,0.2127,0.5554,0.5409,37112
"Benin","BEN","BJ",2014,0.0457694764,4.9,2.1698113208,112760,91.5526250443,1.5444703982,93.2578219309,59.2875609756,56.2,1733.3093993644,10323474,43.086,1.5,1.7000000477,1,78.5999984741,73.6999969482,54.1641082764,2.4711028008,1.0352817914,NA,8.4,NA,0.2193725203,2.4399677049,194,305,0,0,0,0,4607.37060546875,"2259000",24.5,2,2,1,434,"Benin",12,8,15,8,"8.57589054107666",10,"",16,13,0.5,0.1225,24.3775,0,0,0.667,43.8,20.1,29.9,3.5,2.8,1,0,1,0,0.5544,0.7872,0.7905,302
"Bhutan","BTN","BT",2014,2.7165039452,29.9,14.3603133159,38117,19.7798095338,3.5128463937,72.1983110219,68.3023170732,29.7,7167.2058092346,753947,37.139,6.5,6.6999998093,2.0999999046,79.5,74.8000030518,77.7004470825,2.6524941564,NA,33.5503387451,1.7,NA,NA,5.6135877669,NA,31567,0,0,0,0,4362.53076171875,"7000",1,5,4,2,760,"Bhutan",3,8,8,7,"4.44009065628052",8,"",8,5,0.5,0.005,0.995,4.167,7.6,2,27.3,20.1,40.8,5.8,6,5,9,5,9,0.3787,0.605,0.6056,NA
"Bolivia","BOL","BO",2014,1.3283979309,39.5,12.5368731563,1083300,9.8506415582,8.1938394932,97.6994527326,67.2173658537,31.2,5934.3879777187,10671200,67.696,4.0999999046,4.9000000954,2.5999999046,82.3000030518,74.1999969482,80.0322494507,4.7546984214,1.4546899089,20.3264408112,12.1,NA,1.6509105903,1.435686998,748,601,0,0,0,0,12342.982421875,"2000",0.1,3,3,2,145,"Bolivia",10,11,14,7,"6.92157030105591",9,"",11,7,0.5,5e-04,0.0995,0,8.333,0.667,33.3,19.8,36.3,5.7,4.9,7,0,7,0,0.2085,0.7396,0.224,754
"Bosnia and Herzegovina","BIH","BA",2014,11.7587594831,67.9,35.8169934641,51000,75.0844509804,22.1054096733,91.0953078455,76.279902439,5.7,9387.3500313802,3829307,39.486,59.7999992371,60.4000015259,28.3999996185,67.0999984741,54.4000015259,NA,6.7422139408,1.1332182039,NA,1.3,NA,0.7181303988,0.722322227,6926,26811,NA,NA,330,0,1928.30212402344,"1564000",41.6,3,3,2,346,"Bosnia and Herzegovina",7,8,10,6,"6.92157030105591",10,"",11,10,0.5,0.208,41.392,0.556,6.6,3.333,13.7,12.7,46.7,13.7,13.3,11,4,11,4,0.6851,0.63,0.6751,6968
"Botswana","BWA","BW",2014,1.0682069165,15,12.2609122119,566730,3.5663261165,8.6171494955,160.6410527899,47.4056097561,36.3,15246.6087973119,2021144,56.938,28.7000007629,34.0999984741,18.3999996185,82.6999969482,78.9000015259,NA,3.0990593811,2.0186559935,NA,18.4,NA,1.0187439179,5.8312907719,2773,168,0,0,0,0,6576.06103515625,"8000",0.4,2,3,1,571,"Botswana",10,10,13,8,"7.74873065948486",11,"",10,12,0.5,0.002,0.398,0,1.833,0,32.9,21.6,37,4.4,4,0,0,0,0,0.5986,0.4102,0.411,2946
"Brazil","BRA","BR",2014,10.0771995478,51.6,70.0080184523,8358140,23.9720709392,22.4783810597,135.3050481023,73.8859512195,12.3,14555.0821953115,200361925,85.171,10.6999998093,13.6000003815,5.9000000954,85.3000030518,75,NA,4.6602398647,1.3998264124,21.5663700104,25.2,NA,0.6720188622,0.352454002,5196,986,0,0,0,0,10825.5751953125,"204000",0.1,2,2,1,140,"Brazil",10,11,15,8,"8.57589054107666",13,"",14,10,7.5,0.0075,0.0925,0.833,0,3.333,23.8,16.5,43.7,8.4,7.6,7,4,7,4,0.6054,0.5408,0.0468,9830
"Bulgaria","BGR","BG",2014,19.3353180276,53.0615,177.1642619312,108560,66.9225773766,26.8924176752,145.1876887302,74.4658536585,10.1,15695.0177942759,7265115,73.3,31.7999992371,29.7000007629,12.8999996185,71.5,67.6999969482,93.1109313965,4.5187025767,1.5383361911,22.2152004242,1.9,NA,1.4151550238,1.4501191857,4320,1880,0,0,0,0,1526.83056640625,"1002000",13.4,2,2,1,355,"Bulgaria",11,11,14,8,"8.57589054107666",11,"",15,11,12.5,1.675,11.725,5.278,7.033,10,14.2,10.1,42.4,14,19.3,9,8,9,8,0.5965,0.4021,0.3031,8880
"Burkina Faso","BFA","BF",2014,0.0765404383,4.4,0.6314580941,273600,61.8963413743,0.8114691849,66.3772829491,56.2750243902,64.1,1630.4444967272,16934839,28.186,6,4.9000000954,3.0999999046,90.8000030518,85.0999984741,28.3777809143,3.7455594024,1.2675341055,16.6334896088,8,NA,0.1488602892,6.7118142757,29234,1688,0,0,0,0,4511.7509765625,"9600000",58.9,3,5,2,439,"Burkina Faso",8,5,13,4,"5.26725053787231",8,"",8,7,0.5,0.2945,58.6055,0.833,0,4.333,45.4,20.1,29,3.1,2.5,1,1,1,1,0.5798,0.7377,0.7228,30025
