Time,Time Code,Country Name,Country Code,Fixed (wired) broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Internet users (per 100 people) [IT.NET.USER.P2],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],Land area (sq. km) [AG.LND.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.MA.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.MA.ZS]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Health expenditure, public (% of GDP) [SH.XPD.PUBL.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",Battle-related deaths (number of people) [VC.BTL.DETH],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],International migrant stock (% of population) [SM.POP.TOTL.ZS],Refugee population by country or territory of asylum [SM.POP.REFG],Refugee population by country or territory of origin [SM.POP.REFG.OR]
2010,YR2010,Bahrain,BHR,5.4034596524,55,98.2810406284,760,1646.727631579,18.2179489945,125.2084476949,76.2648536585,6.7,40552.8771601848,1251513,88.535,24.7000007629,26.7999992371,7.4000000954,88.4000015259,72,96.436668396,3.0408080643,3.0202137111,NA,0.9,NA,2.7524129581,25.201735819,165,87
2010,YR2010,Bangladesh,BGD,0.2743210567,3.7,0.3109998496,130170,1160.9854421142,0.8474957647,44.9453588152,69.485804878,38.9,2459.2743412011,151125475,30.462,7.8000001907,8.1999998093,4.5,86.6999969482,73.4000015259,49.888469696,1.206285017,1.2335451559,14.7590904236,2.6,NA,0.302616237,0.7181747485,229253,10049
2010,YR2010,Barbados,BRB,20.0395155423,68.1,320.9746216066,430,652.0837209302,49.0327964736,124.8452189047,74.8017804878,13.6,15335.0982212641,280396,32.06,22.1000003815,24.7000007629,10.8000001907,84.6999969482,80.5999984741,101.4992980957,4.0206009089,NA,24.9668502808,11.1,NA,0.3786985187,10.0144081941,NA,32
2010,YR2010,Belarus,BLR,17.5521727266,31.8,9.4836670179,202900,46.7718087728,43.6051994138,108.8697059446,70.4048780488,4.7,15703.1116906868,9490000,74.615,13,13,6.0999999046,69,65.1999969482,106.9602737427,4.3148055467,1.3904755767,NA,5.1,NA,4.1086439184,11.4897576396,589,5743
2010,YR2010,Belgium,BEL,30.6782802902,75,487.9915079038,30280,360.6430647292,42.4061591286,111.0841886257,80.2341463415,3.6,40764.2922437825,10920272,97.641,22.5,22.5,8.3000001907,73.0999984741,67.4000015259,105.0752716064,7.9195238567,1.0827156477,37.8741111755,1.7,NA,0.7295209589,8.926966288,17892,83
2010,YR2010,Belize,BLZ,2.8888996905,14,337.0112931188,22810,13.5289346778,9.8148058134,62.9307020529,73.2704878049,15.7,8208.963130727,308595,44.963,15.5,20.7999992371,10.6999998093,84.5999984741,68,80.5227279663,3.8545564533,1.0977991802,24.9776992798,41.8,NA,0.8060430197,15.1677765356,134,23
2010,YR2010,Benin,BEN,0.0375297141,3.13,0.1051547047,112760,84.3366264633,1.4030476778,74.3960492116,58.7466829268,62.1,1636.5535794811,9509798,41.854,1.2999999523,2,1,78.6999969482,73.5999984741,NA,2.5665089525,NA,NA,NA,NA,0.1850894965,2.4399677049,7139,442
2010,YR2010,Bermuda,BMU,61.7388492864,84.21,5850.377740925,50,1302.48,88.9901618143,135.7946759865,79.2885365854,NA,56395.0078003539,65124,100,NA,NA,NA,NA,NA,78.7241592407,NA,NA,17.8416004181,10.8,NA,NA,30.6215834408,NA,NA
2010,YR2010,Bhutan,BTN,1.2100053143,13.6,4.1844564182,38117,18.8089041635,3.6672576049,54.9999372332,67.0046829268,34.2,6515.504349179,716939,34.793,6.5999999046,8.3999996185,3.2999999523,78,73.5999984741,66.2524719238,4.5460888483,NA,27.0169296265,1.7,NA,NA,5.6135877669,NA,75070
2010,YR2010,Bolivia,BOL,0.9445778169,22.4,7.7781927241,1083300,9.3756124804,8.3807860523,70.6859804771,66.3197073171,34.7,5278.8855461114,10156601,66.426,4.6999998093,6,3.2999999523,82.1999969482,73.8000030518,77.5375900269,3.6193504566,1.6681708249,19.1763896942,10.4,NA,1.7740193586,1.435686998,695,590
2010,YR2010,Bosnia and Herzegovina,BIH,7.9951813983,52,15.6009120293,51000,75.410372549,25.9655079436,80.8707857061,75.8066829268,6.5,9144.6232554079,3845929,39.226,54.5999984741,57.2000007629,27.2000007629,67,54.2000007629,NA,6.9166331699,1.3063387213,NA,1.5,NA,0.7365829709,0.722322227,7016,63004
2010,YR2010,Botswana,BWA,0.6082237662,6,8.6323292919,566730,3.4749192737,6.9780703291,120.0102470827,46.4402926829,39.9,13349.2060359911,1969341,56.235,26.8999996185,33,17.8999996185,82.4000015259,78.5999984741,NA,3.544492429,2.5366752948,NA,NA,NA,1.06006425,5.8312907719,2986,53
2010,YR2010,Brazil,BRA,6.7959118561,40.65,40.6792363885,8358140,23.3556932523,21.587718229,100.8810115482,73.0753170732,14.6,14043.3730871341,195210154,84.335,13.5,17.2000007629,7.9000000954,85.4000015259,74.8000030518,NA,4.2355808954,1.5866751015,21.5663700104,22.2,NA,0.7007727683,0.352454002,4357,994
2010,YR2010,Brunei Darussalam,BRN,5.4170442545,53,64.9076688411,5270,76.0092979127,19.9468755695,108.6214859363,77.9886585366,7.8,70636.4704591218,400569,75.51,10.5,11.3000001907,3.7000000477,79.1999969482,67.8000030518,100.6798171997,2.5199743911,3.1599538398,7.847509861,NA,NA,4.8471192391,36.9781485836,NA,1
2010,YR2010,Bulgaria,BGR,14.7281124077,46.23,74.9094157214,108560,68.1245302137,29.2895756292,138.038982701,73.512195122,11.3,14885.7463921109,7395599,72.302,23.8999996185,22.8999996185,10.1999998093,71.4000015259,66.8000030518,90.4384918213,4.2212570485,1.8357894667,24.4769897461,2,NA,1.9115302309,1.4501191857,5530,2559
2010,YR2010,Burkina Faso,BFA,0.0881901515,2.4,0.2573955534,273600,56.7992836257,0.9263859013,36.7293802353,55.0067560976,70,1433.5225856584,15540284,25.665,6.4000000954,5.1999998093,3.2999999523,91,85.1999969482,21.8945102692,3.965526919,1.380620481,19.972650528,NA,NA,0.1632067082,6.7118142757,531,1145
2010,YR2010,Burundi,BDI,0.003812514,1,0.2166201132,25680,359.5308800623,0.3787819299,18.1747415966,52.6240243902,60.9,725.2940768533,9232753,10.641,10.3000001907,10.8000001907,7.0999999046,82.1999969482,83.0999984741,23.1487903595,5.4996567438,NA,51.8660812378,NA,NA,1.199728046,0.658200214,29365,84064
2010,YR2010,Cabo Verde,CPV,3.295932535,30,14.3560000902,4030,120.9928039702,14.7602240356,76.2654301365,73.8569756098,23.3,6004.9470972085,487601,61.833,10.3000001907,10.6999998093,7,86,70.5,87.7602081299,3.4473800056,0.4979486051,NA,10.7,NA,0.5429078143,2.4718981298,NA,25
2010,YR2010,Cambodia,KHM,0.2482852163,1.26,1.6707354877,176520,81.3784896896,2.498097624,56.740711111,70.6433658537,37.3,2513.057944687,14364931,19.81,0.8999999762,1,0.400000006,87.5999984741,84.6999969482,NA,1.3079731194,1.5856151893,NA,NA,NA,2.3681211527,2.3378392837,129,16314
2010,YR2010,Cameroon,CMR,0.0288687984,4.3,0.533350323,472710,43.6300120581,2.6158602967,41.8760103049,53.6948292683,66,2570.7653135017,20624343,51.516,6.5999999046,7,3.7999999523,76.5999984741,70.8000030518,NA,1.5832850834,1.4957683005,NA,NA,NA,0.2843868784,0.9530970271,104275,14963
2010,YR2010,Canada,CAN,30.7033121727,80.3,1242.689589856,9093510,3.7395102661,53.8998729423,75.6760779975,80.8934878049,4.9,40713.4379154257,34005274,80.937,17.1000003815,14.8000001907,8,81.5,77.9000015259,102.34815979,7.8639704268,1.1966871888,NA,1.4,NA,0.3473057191,21.1800675389,165549,90
2010,YR2010,Cayman Islands,CYM,33.9620602065,66,1927.6153416563,240,231.2875,67.2881875011,181.1742239997,NA,NA,NA,55509,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2850708894,1,1
2010,YR2010,Central African Republic,CAF,0,2,NA,622980,6.9824408488,0.0213567097,22.5114892891,48.0987317073,102.7,901.1249492755,4349921,38.828,10.3000001907,10.8000001907,6.9000000954,85.5,79.0999984741,NA,2.0248479748,2.5974264298,NA,NA,48,0.1550277721,1.85042441,21574,164905
2010,YR2010,Chad,TCD,0.0028240439,1.7,NA,1259200,9.3081170584,0.4370613187,24.5316758329,49.7698536585,93.7,1952.5305743174,11720781,21.983,10.1999998093,10.3999996185,7,79.1999969482,71.9000015259,22.909330368,1.1851371666,2.1218083072,14.7922496796,NA,4,0.8116837745,3.3125011038,347939,53733
2010,YR2010,Channel Islands,CHI,NA,NA,NA,190,839.5684210526,NA,NA,79.8314878049,NA,NA,159518,31.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8849910355,NA,NA
2010,YR2010,Chile,CHL,10.3733770399,45,52.7090344684,743532,23.0666064137,20.1594914744,115.7513836122,79.0504634146,7.5,19217.6235979081,17150760,88.586,16.5,18.6000003815,8.1000003815,79.0999984741,65.6999969482,89.1203536987,3.3136539218,2.163810236,15.3649396896,3.2,NA,1.2887304668,1.8681212961,1621,1170
2010,YR2010,China,CHN,9.2907049382,34.3,1.9204533137,9388211,142.487743405,21.6486507661,63.1702780188,74.8850243902,13.6,9230.435162531,1337705000,49.226,10.3999996185,9,4.1999998093,82.9000015259,76.4000015259,83.1287689209,2.7026660494,2.0796348459,NA,1,NA,0.3804062764,0.0512650398,300986,184602
2010,YR2010,Colombia,COL,5.5906325613,36.5,14.2750109496,1109500,41.8610166742,15.4724862836,95.764552577,73.3676829268,15.9,10776.8895645818,46444798,75.036,19,24.2999992371,12,82.0999984741,70.1999969482,95.9643478394,4.9756531186,3.6311485638,15.3648796082,32.3,428,1.9901021887,0.2374797711,212,395577
2010,YR2010,Comoros,COM,0.0481641269,5.1,1.4639552264,1861,367.0505104782,3.1050490352,24.1959591908,60.2034146341,62.8,1376.896194974,683081,27.918,10.3000001907,10.6000003815,6.5,80.5999984741,58,NA,1.4199266342,NA,NA,NA,NA,NA,1.9799994437,NA,368
2010,YR2010,"Congo, Dem. Rep.",ZAR,NA,0.72,0.1286356433,2267050,27.4326375686,0.0675176333,19.006475856,48.9876829268,92.4,684.8571420973,62191161,39.937,14.3000001907,14.6000003815,8.1999998093,73.3000030518,72.4000015259,40.8721618652,2.038934226,0.8498328521,9.648229599,NA,300,0.6520171134,0.7150083595,166336,476693
2010,YR2010,"Congo, Rep.",COG,0.006080188,5,1.2160375902,341500,12.0401610542,0.3258980742,90.4427471262,57.2040243902,42,5533.1928937049,4111715,63.228,10.1999998093,10.6000003815,6.5,73.9000015259,71.8000030518,NA,1.3865789713,1.1125857339,NA,NA,NA,0.7155148666,3.4828046205,133112,20679
2010,YR2010,Costa Rica,CRI,8.4858400513,36.5,107.5018978796,51060,91.4548570309,22.7078271875,66.9932126043,79.2797073171,8.7,12322.6533991881,4669685,71.734,14.3999996185,17,7.3000001907,83.5999984741,67.1999969482,99.3596801758,7.0926170523,NA,NA,11.3,NA,0.4457805732,10.4761027778,19505,352
2010,YR2010,Cote d'Ivoire,CIV,NA,2.1,1.106626755,318000,59.6748050314,1.4931187841,82.2015211586,49.6752926829,76.9,2892.2401206337,18976588,50.557,6.0999999046,5.6999998093,4.0999999046,82.1999969482,67.9000015259,NA,1.8197772346,1.5578443426,NA,NA,NA,NA,12.6825380832,26218,41758
2010,YR2010,Croatia,HRV,18.5296910324,56.55,168.8630559097,55960,78.9453359543,43.008699577,113.6081449009,76.4756097561,4.5,19988.8145841147,4417781,57.537,31.8999996185,33.5,11.8000001907,69.8000030518,64.4000015259,98.3878707886,7.1573325839,1.7025310861,NA,1.4,NA,1.1079343487,15.8438591682,936,65861
2010,YR2010,Cuba,CUB,0.0328494612,15.9,0.0886385893,106440,105.9918075911,10.314207844,8.8905834617,78.7177804878,5.4,18290.9247939652,11281768,76.597,4.8000001907,5.1999998093,2.5,79.4000015259,65.4000015259,89.2365112305,10.0554132637,3.3266892819,52.1149482727,NA,NA,1.4299662206,0.1352536234,411,7477
2010,YR2010,Curacao,CUW,NA,NA,NA,444,334.8986486486,53.4331797235,138.2651124966,NA,NA,NA,148695,89.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
2010,YR2010,Cyprus,CYP,17.5288238945,52.99,838.1014510481,9240,119.4464285714,37.4374934877,93.6925843878,79.3098292683,3.1,30918.5320107966,1103685,67.551,15.3999996185,16,6.3000001907,78.5999984741,72.8000030518,91.4408035278,3.4651154774,2.0669911251,40.7486495972,0.7,NA,2.1814336895,13.9761797977,3394,13
2010,YR2010,Czech Republic,CZE,14.4972839386,68.82,319.7316125682,77240,135.6086224754,22.431941174,122.5551112354,77.4243902439,3.4,28110.6611931063,10474410,73.255,18.3999996185,18.5,7.3000001907,78.5,70,94.4999313354,6.2249365583,1.2066315413,24.3188304901,1,NA,0.5443037612,4.3252173631,2449,817
2010,YR2010,Denmark,DNK,37.1938254273,88.72,1872.1329246823,42430,130.7490690549,47.0866205281,115.6699229809,79.1,3.3,42997.3733590702,5547683,86.795,16.2000007629,14.1000003815,7.5,82.5999984741,79.3000030518,119.5073318481,9.4338175428,1.4081680194,33.4494400024,0.8,NA,0.6355588127,8.7192076404,17922,9
2010,YR2010,Djibouti,DJI,0.9661453462,6.5,5.9949450623,23180,35.9808455565,2.2150123016,19.8568167321,60.291195122,62.1,2665.3517384568,834036,76.996,NA,NA,NA,69.3000030518,53.5,NA,5.0855067011,NA,NA,NA,NA,4.604411702,13.6860998806,15104,566
2010,YR2010,Dominica,DMA,11.6781654418,47.45,309.1320415361,750,94.8893333333,21.7572751416,148.3370101311,NA,11.1,10374.9826008959,71167,68.094,NA,NA,NA,NA,NA,96.93409729,4.163522993,NA,15.4514303207,21.1,NA,NA,7.729706184,NA,52
2010,YR2010,Dominican Republic,DOM,3.6931665881,31.4,15.0746790616,48320,207.3012624172,10.1121346474,88.7787084035,72.7921463415,25.6,11086.2444215519,10016797,73.752,18.7999992371,25.2999992371,12.3999996185,82.8000030518,69,75.4505004883,1.948581119,0.6690243016,6.8001499176,24.7,NA,0.8828234078,4.3361465746,599,246
2010,YR2010,Ecuador,ECU,1.3191723898,29.03,14.0656614407,248360,60.4005153809,13.9033997037,98.5311583066,75.6477073171,20.9,9310.9587068266,15001072,62.69,8.8999996185,11.3000001907,5,85.0999984741,70.9000015259,85.1909790039,2.6645100999,3.0105512922,14.8220500946,17.6,NA,0.8374376053,2.6240857987,121249,852
2010,YR2010,"Egypt, Arab Rep.",EGY,1.8570488733,31.42,2.3823031761,995450,78.4325732081,12.3189704147,90.5031917419,70.4508292683,19.9,10620.5950375948,78075705,43.019,14.8000001907,26.2999992371,9,78.0999984741,51.9000015259,75.8625793457,1.8721551581,1.9985082049,NA,2.4,NA,3.2150914662,0.3134316879,95056,6913
2010,YR2010,El Salvador,SLV,2.8187279428,15.9,13.3479249203,20720,300.1059362934,16.0963269888,123.8355503486,71.6344146341,15.2,7236.963144098,6218195,64.286,12.6999998093,13,7,82.3000030518,65.1999969482,64.6840362549,4.2901206877,1.055172446,11.3059301376,64.1,NA,1.2432943398,0.6484840054,38,4976
2010,YR2010,Equatorial Guinea,GNQ,0.1703614219,6,2.8728738938,28050,24.8187878788,1.944504695,57.3554908521,51.5330731707,75.6,34462.2976567071,696167,39.223,10.3000001907,10.8999996185,7,94,88.1999969482,NA,3.0513574237,NA,NA,NA,NA,0.3608174155,1.0697145943,NA,305
2010,YR2010,Eritrea,ERI,0.0020553341,0.61,NA,101000,56.8431584158,0.9446176286,3.2271358449,61.185097561,39.4,1083.2369544784,5741159,20.572,10.3000001907,10.8000001907,7.3000001907,90.4000015259,86,NA,1.4248635585,NA,NA,NA,NA,7.2991037026,0.2871197262,4809,222460
2010,YR2010,Estonia,EST,24.0241102845,74.1,437.1092209767,42390,31.4101203114,37.1350593323,127.2827875764,75.4292682927,3.6,21707.7305607888,1331475,68.094,35.7000007629,33.2999992371,16.8999996185,77.0999984741,74.0999984741,109.1143188477,4.927346775,1.7043071513,31.7219390869,5.4,NA,0.8313753841,13.7038998104,39,240
2010,YR2010,Ethiopia,ETH,0.0047155253,0.75,0.1262984616,1000000,87.095281,1.0435490759,7.8695423234,61.4679512195,50.7,1081.3149933318,87095281,17.319,4.1999998093,7.6999998093,5.4000000954,90.5,85.6999969482,NA,2.7665490515,1.1337824666,10.3975200653,NA,151,0.339836164,0.6291776015,154295,68848
2010,YR2010,Faeroe Islands,FRO,31.7339303362,75.2,907.6057360683,1396,35.5164756447,40.6909905004,119.8967346363,80.643902439,NA,NA,49581,40.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5791331357,NA,NA
2010,YR2010,Fiji,FJI,2.7017322461,20,30.2129197417,18270,47.1022988506,15.0884483225,81.1007728697,69.3823170732,20.1,7097.532674265,860559,51.828,16.2999992371,20,8.3999996185,74.0999984741,56.9000015259,NA,2.8874236276,1.6067888555,NA,NA,NA,1.0420543357,2.1536001599,1,1851
2010,YR2010,Finland,FIN,28.5541665665,86.89,1245.4897608809,303900,17.6484106614,23.2874719176,156.3055115112,79.8707317073,2.5,39424.8542542833,5363352,83.558,21.7000007629,20.3999996185,8.3999996185,76.5999984741,74.5,107.1995620728,6.6684420924,1.3719935863,36.5319519043,2.2,NA,0.9249102494,4.207182374,8724,6
2010,YR2010,France,FRA,33.7445955588,77.28,296.4329222971,547557,118.7513665244,64.2439406096,91.387329726,81.6634146341,3.5,36744.7760843659,65023142,78.345,22,22.6000003815,9.3000001907,74.8000030518,70.3000030518,109.9639892578,8.9558786243,2.3341728042,29.2395496368,1.1,NA,1.146147046,10.2807120579,200687,92
2010,YR2010,French Polynesia,PYF,12.029545073,49,85.8000858001,3660,73.2418032787,20.4957752784,80.5364370582,75.6933902439,NA,NA,268065,56.479,NA,NA,NA,69.3000030518,60.5999984741,NA,NA,NA,NA,NA,NA,NA,12.983045157,NA,NA
2010,YR2010,Gabon,GAB,0.2623019081,7.23,7.7109821092,257670,6.0395932782,1.9522278955,103.4556766323,62.2897560976,43.2,16725.8389190358,1556222,85.697,29.5,34.5,20.3999996185,66.5,61.7000007629,NA,1.6324092055,0.8592074892,NA,NA,NA,1.1673348352,18.2574851146,9015,165
2010,YR2010,"Gambia, The",GMB,0.0208253998,9.2,2.9750571211,10120,166.0711462451,2.9022872239,87.963335396,58.1335121951,51.8,1667.0810685084,1680640,56.297,10.1999998093,10.6999998093,7,83,77.6999969482,57.4879417419,3.4334731928,NA,13.1397399902,NA,NA,0.1135424975,17.2615194212,8378,2242
2010,YR2010,Georgia,GEO,5.2612930466,26.9,11.9026230686,69490,77.9033556108,25.3356025077,90.6479269137,73.6747317073,14.6,5938.3181746395,4452800,52.869,34.0999984741,36.7999992371,16.2999992371,77.1999969482,67.6999969482,NA,2.2899291327,3.9048632237,NA,4.3,NA,1.3728179916,3.7564902982,639,10640
2010,YR2010,Germany,DEU,31.4269041706,82,872.0307793408,348570,234.606908225,63.7215781886,106.4836958766,79.987804878,3.5,40631.8654507366,81776930,74.291,10.3999996185,9.6999998093,7.0999999046,82.5999984741,76.8000030518,101.5635223389,8.8679759519,1.3556683824,24.6956291199,0.8,NA,0.5988623318,13.1553740156,594269,164
2010,YR2010,Ghana,GHA,0.2064138991,7.8,1.7310378508,227540,106.6313659137,1.14535768,71.8667112395,60.5995609756,55,3064.9430778844,24262901,50.713,6.5999999046,7.8000001907,4.1999998093,71.5,69.9000015259,NA,3.8293813768,0.3887670221,NA,NA,NA,0.1518877739,7.6322860156,13828,20203
2010,YR2010,Greece,GRC,20.2557173948,44.4,126.0596044956,128900,86.5279596587,53.0881865966,110.6455185099,80.387804878,4,29190.5619213196,11153454,76.292,26.5,32.4000015259,12.5,78.6999969482,68.3000030518,110.7956771851,6.3234397296,2.7248401927,NA,1.6,NA,2.9064978475,10.1564412244,1444,51
2010,YR2010,Greenland,GRL,21.8017189545,63,1089.5351902293,410450,0.1386405165,38.5915891487,101.4200827645,70.8368292683,NA,NA,56905,84.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.232844214,NA,NA
2010,YR2010,Grenada,GRD,13.7919504762,27,85.9787727963,340,307.8735294118,27.1014645051,116.4974158602,72.3368780488,11.5,11177.9997155594,104677,35.681,NA,NA,NA,NA,NA,107.7990264893,3.0882522483,NA,NA,9.6,NA,NA,12.0341622324,NA,345
