Time,Time Code,Country Name,Country Code,Fixed (wired) broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Internet users (per 100 people) [IT.NET.USER.P2],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],Land area (sq. km) [AG.LND.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.MA.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.MA.ZS]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Health expenditure, public (% of GDP) [SH.XPD.PUBL.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",Battle-related deaths (number of people) [VC.BTL.DETH],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],International migrant stock (% of population) [SM.POP.TOTL.ZS],Refugee population by country or territory of asylum [SM.POP.REFG],Refugee population by country or territory of origin [SM.POP.REFG.OR]
2011,YR2011,Belgium,BEL,32.0610246622,81.6099959956,597.4070362239,30280,364.8528401585,42.1041786443,113.5309511574,80.5853658537,3.6,40954.0642795348,11047744,97.687,18.6000003815,18.6000003815,7.0999999046,71.9000015259,66.4000015259,106.4623413086,8.0293834189,1.0410783846,38.577331543,1.9,NA,0.6990424248,NA,22402,90
2011,YR2011,Belize,BLZ,3.0662703933,18.7,338.3078285064,22810,13.8658483121,9.1197672948,70.3196534716,73.487804878,15.2,8178.0169640517,316280,44.718,19.1000003815,24.2999992371,12.3000001907,84.5999984741,68.0999984741,81.144241333,3.720614137,1.036747945,NA,39.2,NA,0.7789317507,NA,78,32
2011,YR2011,Benin,BEN,0.0396225074,4.1483230656,0.7157614244,112760,86.7310659808,1.5615357991,79.4004986812,58.944902439,60,1643.3101182838,9779795,42.256,1.2999999523,2,1,78.5999984741,73.5999984741,47.6814994812,2.7787109407,NA,NA,NA,NA,0.233633538,NA,7217,461
2011,YR2011,Bermuda,BMU,NA,88.336,5328.0465894306,50,1291.28,NA,NA,81.1526829268,NA,54984.5103947777,64564,100,NA,NA,NA,NA,NA,77.1428604126,NA,NA,NA,12.3,NA,NA,NA,NA,NA
2011,YR2011,Bhutan,BTN,1.8141587461,21,5.4837413922,38117,19.136579479,3.7687012718,66.3791815242,67.4607317073,32.5,6909.2688325698,729429,35.585,6.4000000954,8.3999996185,3.0999999046,78.5,74,69.6934432983,4.1413957453,NA,31.5244102478,NA,NA,NA,NA,NA,57989
2011,YR2011,Bolivia,BOL,0.6379907104,30,9.2983206361,1083300,9.5305501708,8.5087672994,80.9077194948,66.6269268293,33.4,5461.7526319371,10324445,66.855,4.4000000954,5.5,2.7000000477,82.1999969482,73.9000015259,77.2704620361,3.5215553049,1.4675163333,19.5259304047,10,NA,1.7314251585,NA,716,611
2011,YR2011,Bosnia and Herzegovina,BIH,9.494228408,60,19.7951617499,51000,75.2808235294,24.8985888654,82.6000788681,75.9624146341,6.3,9248.0945947921,3839322,39.291,55.9000015259,57.0999984741,27.6000003815,67,54.2999992371,NA,7.0412107101,1.1562841405,NA,1.3,NA,0.7316186873,NA,6933,58578
2011,YR2011,Botswana,BWA,0.7906071422,8,9.0602461065,566730,3.5055511443,7.5289638451,145.9838697418,46.6689512195,39.1,14050.7045922619,1986701,56.467,27,33.2000007629,17.7999992371,82.5,78.6999969482,NA,3.2360105409,2.406945026,NA,NA,NA,1.0453960757,NA,3312,85
2011,YR2011,Brazil,BRA,8.5587145664,45.69,54.1193426664,8358140,23.5620764907,21.8477191581,119.0023853235,73.3473658537,13.7,14300.7406589422,196935134,84.623,12,15.1999998093,6.6999998093,85.4000015259,74.9000015259,NA,4.3464481784,1.4913776561,NA,23.4,NA,0.6913980194,NA,4477,1045
2011,YR2011,Brunei Darussalam,BRN,5.7033986697,56,113.1577911599,5270,77.1370018975,19.640010627,109.0154780179,78.1810243902,7.9,71991.0849847106,406512,75.872,10.3999996185,11.1999998093,3.7000000477,79.0999984741,67.6999969482,103.0151672363,2.0667304494,2.4909174897,NA,NA,NA,4.7706232755,NA,NA,1
2011,YR2011,Bulgaria,BGR,16.7005130966,47.9799930506,141.5287940331,108560,67.6890935888,30.9940841022,142.8461574756,74.1634146341,10.9,15278.438477765,7348328,72.638,26.2000007629,25.2000007629,11.3000001907,70.0999984741,66.1999969482,93.2321624756,4.0141243848,1.4866086712,22.2152004242,1.7,NA,1.4131619454,NA,5688,2327
2011,YR2011,Burkina Faso,BFA,0.0879195049,3,0.6251831396,273600,58.4624013158,0.8848154456,48.0271939661,55.4404878049,67.7,1485.0380884439,15995313,26.505,6.4000000954,5.3000001907,3.2999999523,90.9000015259,85.1999969482,23.8174800873,3.6194256859,1.2954010604,17.0251598358,NA,NA,0.1582935814,NA,546,1271
2011,YR2011,Burundi,BDI,0.0038468142,1.11,0.1048178256,25680,371.509423676,0.3145582945,20.0682741389,53.1365609756,58.7,731.329864173,9540362,10.912,10.3000001907,10.8000001907,7.0999999046,82.5,83.3000030518,25.9621505737,5.4045549453,NA,41.0806694031,NA,NA,1.1598782548,NA,35659,101288
2011,YR2011,Cabo Verde,CPV,4.3485351316,32,16.308025995,4030,121.7260545906,15.1874607588,80.8121804646,74.2068292683,22.9,6205.6623958375,490556,62.624,10.3000001907,10.6999998093,7,86.0999984741,70.8000030518,90.4087295532,3.3402287661,0.5191855277,14.7820301056,15.1,NA,0.5304195619,NA,NA,27
2011,YR2011,Cambodia,KHM,0.1506244548,3.1,2.4647638051,176520,82.743383186,3.6286800464,94.1882101857,71.051097561,35.5,2646.3355559777,14605862,19.967,0.6999999881,0.8000000119,0.3000000119,87.8000030518,84.8000030518,NA,1.2581437439,1.5863659271,NA,NA,14,2.315872406,NA,64,15205
2011,YR2011,Cameroon,CMR,0.0506374658,5,0.9926134434,472710,44.755287597,3.1620173913,49.5674001544,54.1373658537,64.3,2609.8975143177,21156272,52.099,6.5,6.9000000954,3.7999999523,76.8000030518,70.9000015259,47.1884918213,1.8469621728,1.3072259064,20.9132595062,NA,NA,0.2748323196,NA,100373,15163
2011,YR2011,Canada,CAN,31.7129489616,83,1374.2044179301,9093510,3.7766253075,52.9874463768,77.8254930915,81.0683170732,4.7,41332.5189285225,34342780,81.115,15.8000001907,14.1000003815,7.4000000954,81.5,77.8000030518,103.4047470093,7.7181326921,1.1516405295,18.32213974,1.5,NA,0.3445885825,NA,164883,109
2011,YR2011,Cayman Islands,CYM,33.2432289182,69.46594499,2491.1220649812,240,235.8375,65.7744562817,170.9810780728,NA,NA,NA,56601,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
2011,YR2011,Central African Republic,CAF,0,2.2,NA,622980,7.1209621497,0.0183715089,22.3714033827,48.7930487805,100.1,912.754028902,4436217,39.034,10.3000001907,10.8000001907,6.9000000954,85.5,79.0999984741,18.1766605377,1.9222037672,NA,NA,NA,48,0.1512798273,NA,16730,162862
2011,YR2011,Chad,TCD,0.1307860233,1.9,NA,1259200,9.593422014,0.2635670735,30.3447828844,50.236195122,91.9,1896.0329477977,12080037,22.048,10.3000001907,10.8999996185,7.0999999046,79.1999969482,71.9000015259,23.4565391541,1.7050438418,1.9873840092,20.8794803619,NA,NA,0.785239746,NA,366494,42640
2011,YR2011,Channel Islands,CHI,NA,NA,NA,190,844.2473684211,NA,NA,79.9786341463,NA,NA,160407,31.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,YR2011,Chile,CHL,11.5438708575,52.2496072878,67.308168398,743532,23.2786874001,19.4490274663,128.9269073156,79.3065121951,7.4,20154.4226265404,17308449,88.79,15.1999998093,17.6000003815,7.0999999046,79.5,67,89.8653564453,3.3627650784,2.1671654387,15.3022403717,3.7,NA,1.2432670349,NA,1674,1189
2011,YR2011,China,CHN,11.4354276179,38.3,2.4253606422,9388211,143.1721123439,20.8350338703,72.0713209045,75.042,12.6,10040.6298710262,1344130000,50.573,10.8000001907,9.3000001907,4.3000001907,83.1999969482,76.6999969482,86.612197876,2.8761178516,2.0122423444,NA,NA,NA,0.3763950918,NA,301018,190369
2011,YR2011,Colombia,COL,7.0035548066,40.3509157546,21.1560228648,1109500,42.4324398378,15.1378777943,98.1342533173,73.5738536585,15.4,11332.3419836931,47078792,75.321,17.8999996185,23.2000007629,11.1000003815,82.1999969482,70.4000015259,97.0625686646,4.9187190068,3.0727834114,14.8376998901,33.6,202,1.9430846707,NA,219,395949
2011,YR2011,Comoros,COM,0.0571252299,5.5,4.2843922447,1861,376.2579258463,3.3055514298,30.9101762885,60.4254878049,61,1378.1253969662,700216,27.966,10.3000001907,10.6000003815,6.5,80.5999984741,58.2000007629,NA,1.5913685025,NA,NA,NA,NA,NA,NA,NA,422
2011,YR2011,"Congo, Dem. Rep.",ZAR,NA,1.2,0.1877008634,2267050,28.2003096535,0.0891109849,24.4713076706,49.3007073171,90.2,712.0094241618,63931512,40.442,14.3000001907,14.6999998093,8.1999998093,73.3000030518,72.4000015259,43.1409988403,2.0253192446,0.926104264,NA,NA,242,0.5338294163,NA,152749,491481
2011,YR2011,"Congo, Rep.",COG,0.0070999884,5.6,1.1833314045,341500,12.3729399707,0.3360661189,91.9390991393,57.7752195122,39.4,5568.5528167871,4225359,63.666,10.3000001907,10.8000001907,6.5999999046,74,71.9000015259,NA,1.9773752618,NA,NA,NA,NA,0.697017925,NA,141232,12839
2011,YR2011,Costa Rica,CRI,8.7465594975,39.2121959962,111.02480539,51060,92.7865256561,21.7768823559,87.6603527465,79.4895609756,8.7,12693.6014897915,4737680,72.866,13.8999996185,17,7.6999998093,83.6999969482,67.4000015259,101.1061477661,7.5855646232,NA,NA,10,NA,0.4357608473,NA,20057,331
2011,YR2011,Cote d'Ivoire,CIV,NA,2.2,0.9798888641,318000,60.9746981132,1.4259652189,89.4496294318,50.0475609756,75.2,2706.3967361388,19389954,51.305,6.1999998093,5.9000000954,4,82.0999984741,67.9000015259,NA,1.7220158898,1.4110702216,NA,NA,35,NA,NA,24221,154824
2011,YR2011,Croatia,HRV,19.9193213782,57.7899789891,231.2748007182,55960,76.4943173695,40.7248263226,118.3013546811,76.7756097561,4.3,20571.2488803836,4280622,57.8,36.2000007629,36.5999984741,13.3999996185,70.0999984741,63.9000015259,97.9642181396,5.7217087255,1.7778806748,NA,1.1,NA,1.1524646738,NA,824,62649
2011,YR2011,Cuba,CUB,0.0392069814,16.0172907996,NA,106440,105.9381153702,10.5836235427,11.6631324808,78.8938292683,5.5,18796.1925231461,11276053,76.689,6.1999998093,6.6999998093,3.2000000477,79.5999984741,65.5999984741,89.99949646,10.0710247862,3.288687881,NA,NA,NA,1.4216233621,NA,384,7856
2011,YR2011,Curacao,CUW,20.9869128779,NA,NA,444,339.7072072072,44.9238729434,136.146987586,77.4731707317,NA,NA,150830,89.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
2011,YR2011,Cyprus,CYP,18.8030054285,56.8598923504,1121.3483407717,9240,120.8347402597,36.2757979531,97.7099236641,79.4719512195,3,30260.2052614127,1116513,67.406,22.2999992371,21.3999996185,7.9000000954,78.4000015259,72.4000015259,92.8256225586,3.545782526,1.9297460566,41.7431716919,0.8,NA,2.1748400853,NA,3503,11
2011,YR2011,Czech Republic,CZE,15.7270208369,70.49,389.0020739155,77240,135.8892801657,20.7698832828,124.0943745649,77.8731707317,3.2,28603.4944491847,10496088,73.185,18,17.8999996185,6.6999998093,78.5,70.4000015259,96.0170822144,6.3147325346,1.0885265301,25.1524791718,0.8,NA,0.5102810666,NA,2449,763
2011,YR2011,Denmark,DNK,37.5743309208,89.8100133895,2182.0021355078,42430,131.288522272,44.5087625871,128.6615259584,79.8,3.1,43314.0563639927,5570572,86.957,15.8000001907,14.3000001907,7.5999999046,82.1999969482,79.0999984741,122.8011932373,9.2688525207,1.3231671797,30.1277103424,0.8,NA,0.5613481911,NA,13399,9
2011,YR2011,Djibouti,DJI,1.3349144743,7,5.9056559648,23180,36.5248490078,2.1782421461,22.8016195671,60.8030731707,60.5,2767.0488012368,846646,77.053,NA,NA,NA,69.6999969482,53.9000015259,39.7239189148,4.9826199561,NA,NA,NA,NA,4.499715076,NA,20340,602
2011,YR2011,Dominica,DMA,11.6342908363,51.3135,434.1675886892,750,95.2013333333,20.9969048053,152.5524852593,NA,10.8,10332.5256113498,71401,68.389,NA,NA,NA,NA,NA,96.729598999,4.146948003,NA,NA,NA,NA,NA,NA,NA,52
2011,YR2011,Dominican Republic,DOM,3.9733442338,38,20.1032796136,48320,210.008236755,10.8379342579,86.4320797887,73.0130487805,24.9,11263.691090319,10147598,74.929,22.7000007629,30,14.6999998093,82.8000030518,69,75.1019287109,2.1626933927,0.5994631531,7.0309901237,24.8,NA,0.8672724107,NA,595,250
2011,YR2011,Ecuador,ECU,4.059428533,31.3668083587,18.9551936608,248360,61.3886334353,14.499135899,100.5655993668,75.9166097561,20.3,9881.8958667404,15246481,62.885,8.3999996185,10.6999998093,4.1999998093,85.1999969482,71.0999984741,85.1172485352,2.4991100526,3.0954884782,17.645570755,15.4,NA,0.8175948326,NA,123436,909
2011,YR2011,"Egypt, Arab Rep.",EGY,2.3221649268,39.83,3.1237220922,995450,79.7553528555,10.9762127807,105.0794227755,70.6785609756,19.4,10628.7473175029,79392466,43,23.6000003815,35.5,12,78.4000015259,52.2000007629,85.553352356,1.9914353833,1.8550798629,NA,3.4,NA,3.1427097147,NA,95087,7936
2011,YR2011,El Salvador,SLV,3.2927115032,18.9,16.7832382443,20720,301.9421814672,16.4594336344,132.9256445003,71.8687073171,14.6,7352.4078611568,6256242,64.79,12.1999998093,12,6.5999999046,82.3000030518,65.1999969482,67.2025375366,4.3279033433,1.1063572324,NA,69.9,NA,1.2149219497,NA,38,6720
2011,YR2011,Equatorial Guinea,GNQ,0.187989877,11.5,2.7933116945,28050,25.5257040998,2.0279442902,66.8802619009,52.084902439,73.4,35182.5451652273,715996,39.337,10.3000001907,10.6999998093,6.9000000954,94,88.1999969482,NA,2.5958987214,NA,NA,NA,NA,0.3497253861,NA,NA,258
2011,YR2011,Eritrea,ERI,0.0023765973,0.7,NA,101000,58.7411089109,0.9855799538,4.0779544138,61.7109268293,38.2,1139.2219906201,5932852,20.954,10.1999998093,10.6000003815,7.1999998093,90.5,86.0999984741,NA,1.4078225693,NA,NA,NA,NA,7.0588284689,NA,4719,251954
2011,YR2011,Estonia,EST,24.5115867309,76.5,537.8778233877,42390,31.3149091767,36.4549037542,143.9260624582,76.2292682927,3.2,23575.6440314733,1327439,67.965,24,22.6000003815,12.5,78.1999969482,74.8000030518,109.3740234375,4.6258852971,1.7069246887,27.4906997681,5,NA,0.8232396988,NA,50,224
2011,YR2011,Ethiopia,ETH,0.0051368639,1.1,0.1677982552,1000000,89.393063,0.9273739731,15.8028582151,62.2528536585,48.2,1171.2862514089,89393063,17.735,4.1999998093,7.6999998093,5.4000000954,90.4000015259,85.5999984741,NA,3.2874461197,1.0907074461,NA,NA,51,0.3282864759,NA,288844,70610
2011,YR2011,Faeroe Islands,FRO,32.1729127566,80.7321728,1251.2361001796,1396,35.4949856734,39.4764989607,118.0097273516,80.8463414634,NA,NA,49551,41.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,YR2011,Fiji,FJI,2.6788152378,28,36.8697151008,18270,47.5052545156,14.9604629914,83.7633839946,69.5639756098,20.2,7227.6987040892,867921,52.214,16.2999992371,20,8.3999996185,74.0999984741,57,90.4716720581,2.5991272456,1.5033417161,5.7548599243,NA,NA,1.0317574957,NA,7,1579
2011,YR2011,Finland,FIN,29.4799635708,88.7099949135,1486.376337349,303890,17.7309947678,20.0405115229,165.8909009398,80.4707317073,2.4,40251.3735098925,5388272,83.688,19.2999992371,18.8999996185,7.6999998093,77.3000030518,74.9000015259,107.4782180786,6.6723137143,1.3699465127,36.1960792542,2.1,NA,0.9208154005,NA,9175,7
2011,YR2011,France,FRA,35.7789310302,77.8199989927,354.6025051456,547557,119.3365950942,63.4927005885,94.0767742978,82.1146341463,3.5,37324.8405120858,65343588,78.584,21,21.8999996185,9.1999998093,74.5999984741,70.3000030518,109.9289932251,8.911536461,2.2566581394,27.9523391724,1.2,NA,1.1114976123,NA,210207,99
2011,YR2011,French Polynesia,PYF,13.2903121008,49,110.7526008402,3660,74.0092896175,20.3046434874,82.2622326248,75.9160243902,NA,NA,270874,56.349,NA,NA,NA,69.4000015259,60.7000007629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,YR2011,Gabon,GAB,0.282302636,8,8.1554094831,257670,6.1863391159,1.4114504458,148.6936288686,62.6933414634,41.6,17488.4512547111,1594034,86.047,29.5,34.5,20.3999996185,66.6999969482,62,NA,1.8401778782,NA,NA,NA,NA,1.1342743861,NA,1773,173
2011,YR2011,"Gambia, The",GMB,0.0251878135,10.8703,2.8819008557,10120,171.4393280632,2.9078379634,80.7602569733,58.374804878,51,1544.9776704868,1734966,57.014,10.3999996185,11.1000003815,7.1999998093,82.9000015259,77.6999969482,NA,3.7606711721,NA,NA,NA,NA,0.1100627633,NA,9528,2583
2011,YR2011,Georgia,GEO,7.0912202525,31.52,18.735989829,69490,78.4378389727,30.6451472786,101.2829241105,73.8097804878,13.5,6322.4992981697,4483350,53.016,33.9000015259,36.5999984741,15.1000003815,77.6999969482,68.1999969482,NA,1.7006243838,3.245154596,NA,NA,NA,1.3587624215,NA,462,10112
2011,YR2011,Germany,DEU,32.7963126976,81.269999536,1022.5107503975,348560,234.6731495295,62.0077202266,109.6595674824,80.7414634146,3.4,42079.8757469686,81797673,74.488,9,8.3999996185,5.9000000954,82.9000015259,77.5,101.7212982178,8.6042377103,1.283020266,24.1057491302,0.8,NA,0.4612793956,NA,571684,174
2011,YR2011,Ghana,GHA,0.25239411,14.11,2.2158918445,227540,109.0828249978,1.1471108034,85.2749434283,60.7885853659,54.2,3445.739209803,24820706,51.394,6.5999999046,7.4000000954,4.1999998093,71.5999984741,70.0999984741,57.0907897949,3.5755251179,0.2490972315,25.7302093506,NA,NA,0.1477997575,NA,13588,20361
2011,YR2011,Greece,GRC,22.1491082115,51.6499951677,156.8791319558,128900,86.2933514352,51.6699740506,109.0787778557,80.7317073171,3.9,26675.4700717067,11123213,76.649,38.4000015259,44.0999984741,17.7000007629,77.8000030518,67.8000030518,107.8567123413,6.5991821477,2.4683353229,NA,1.7,NA,2.9231411896,NA,1573,56
2011,YR2011,Greenland,GRL,20.8896973122,64,1494.1114431359,410450,0.1386039713,35.1358033412,103.7367993501,71.0017073171,NA,NA,56890,84.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,YR2011,Grenada,GRD,13.9653958163,30,76.1368178617,340,309.0411764706,26.7164093877,115.0189390334,72.4763658537,11.3,11220.9351559067,105074,35.634,NA,NA,NA,NA,NA,NA,3.136850333,NA,NA,3.8,NA,NA,NA,3,323
2011,YR2011,Guam,GUM,NA,57.7,273.5331783312,540,297.8851851852,NA,NA,78.3605853659,NA,NA,160858,94.187,NA,NA,NA,73.0999984741,67.0999984741,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA
2011,YR2011,Guatemala,GTM,NA,12.3,13.87134383,107160,137.2394363569,11.0585956842,132.4516485072,71.327902439,27.5,6957.2820353309,14706578,49.765,4.3000001907,7.4000000954,4.0999999046,90,69.5,65.1375579834,2.6414268449,0.4142723146,4.8354401588,38.6,NA,0.7242071815,NA,147,6088
2011,YR2011,Guinea,GIN,0.0053756071,1.3,0.447967259,245720,45.4237750285,0.1612682132,43.5477035854,55.590195122,69,1200.2770489261,11161530,35.297,1.8999999762,1.2999999523,1.7000000477,79.4000015259,73.1999969482,38.0739517212,1.4541377519,NA,11.4925699234,NA,NA,0.2676289705,NA,16609,13161
2011,YR2011,Guinea-Bissau,GNB,0,2.672,0.6156771094,28120,57.7605974395,0.3078385547,45.1065983347,53.796097561,82.2,1456.8477691564,1624228,46.081,10.3000001907,10.6999998093,6.8000001907,79.5,74.5,NA,1.5654777986,1.5874387453,NA,NA,NA,0.930928027,NA,7800,1123
2011,YR2011,Guyana,GUY,2.5293280161,31,8.8508778806,196850,4.0176885954,19.2568550049,66.8566233648,65.8800731707,31.5,5808.2515646468,790882,28.271,19.7000007629,23.1000003815,11.1999998093,83.0999984741,63.7000007629,105.4080429077,4.5714719252,1.172213852,10.954369545,16.4,NA,0.3616624637,NA,7,771
2011,YR2011,Haiti,HTI,NA,9,1.1960692381,27560,364.0371552975,0.4983621825,41.862423332,62.3059756098,57.3,1579.7486678125,10032864,53.456,14.1000003815,16.8999996185,6.8000001907,71.5,66.8000030518,NA,1.8063211694,NA,NA,9.1,NA,0.0011861411,NA,NA,33661
2011,YR2011,Honduras,HND,0.7366907348,15.9,7.7153855976,111890,69.5028063276,7.8990246338,103.6720091854,73.173195122,20.3,4345.2062310474,7776669,52.316,5.5999999046,8.3000001907,4.4000000954,84.5999984741,64.1999969482,73.7830734253,3.7542620318,1.1312487314,NA,91.4,NA,0.6474671087,NA,17,1966
2011,YR2011,"Hong Kong SAR, China",HKG,31.6911531674,72.2,570.4508173539,1050,6734.8571428571,61.1895480485,215.5038097706,83.4219512195,NA,50086.0370043796,7071600,100,10.8000001907,9.1999998093,3.4000000954,78.5999984741,68.6999969482,86.2210464478,NA,NA,17.5571804047,0.2,NA,NA,NA,152,15
2011,YR2011,Hungary,HUN,22.0892542756,68.0199878861,219.9217848623,90530,110.1483154755,29.3442015673,116.9434927798,74.8585365854,5.5,22523.830711473,9971727,69.348,27.1000003815,26,10.8999996185,69.0999984741,62.9000015259,100.7706680298,5.1205983369,1.0558218355,20.9482707977,1.4,NA,0.8882879807,NA,5106,1238
2011,YR2011,Iceland,ISL,34.1590799001,94.8196868009,3024.9456136721,100250,3.1821845387,59.343832673,106.8414417547,82.3585365854,1.8,39559.1220305698,319014,93.734,18.5,14.6000003815,7.0999999046,86.5,83.8000030518,108.5537261963,7.2715181152,0.132956359,21.1665306091,0.9,NA,0.0965276847,NA,58,3
2011,YR2011,India,IND,1.0552831607,10.07,2.9029862474,2973190,410.7225972777,2.688866322,73.1980389482,65.9584878049,44.7,4786.7437144751,1221156319,31.276,9.8999996185,10.3000001907,3.5,82.9000015259,57,68.5097808838,1.1422994099,2.6222790458,15.528960228,3.6,427,0.5634571239,NA,185118,16232
2011,YR2011,Indonesia,IDN,1.122379247,11.11,3.3633900222,1811570,134.5803027208,15.8397130382,102.4626495641,70.3915609756,26.4,8437.7335749311,243801639,50.712,20.7000007629,21.3999996185,6.5999999046,86.5,70,81.162727356,1.0861261202,0.6901295157,NA,0.6,NA,0.5812874122,NA,1006,16079
2011,YR2011,"Iran, Islamic Rep.",IRN,2.3505254309,21,1.007633019,1628550,46.3137668478,36.8143111996,74.3036622754,73.4493170732,15.7,15969.7019530489,75424285,71.2,25.1000003815,28.3999996185,13.3000001907,75.5,46.5,83.7965774536,2.6997857736,2.0829136905,16.3686008453,NA,190,2.1958062441,NA,886468,72361
2011,YR2011,Iraq,IRQ,NA,5,0.1259445051,434320,73.1258519064,5.6349503872,80.1551276085,69.0157804878,29.4,13247.8358676898,31760020,69.098,28.6000003815,32.5999984741,15.1999998093,72.0999984741,44,NA,2.407284747,3.178618665,NA,NA,947,10.1543822981,NA,35189,1428308
2011,YR2011,Ireland,IRL,21.9699596095,74.8899729671,1131.7966244493,68890,66.4362607055,45.2495597903,108.4793550253,80.7463414634,3.4,44912.6670385336,4576794,62.111,35.2000007629,29.1000003815,14.6000003815,76.6999969482,69.3000030518,117.7591934204,5.9114500211,0.5466482545,28.9435195923,0.9,NA,0.4099481991,NA,8248,8
2011,YR2011,Isle of Man,IMY,NA,NA,1145.8407163276,570,148.5157894737,NA,NA,NA,NA,NA,84654,52.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,YR2011,Israel,ISR,24.9131203142,68.8738779907,470.1382986943,21640,358.8632162662,46.4047766691,121.9782701015,81.656097561,3.4,30182.5011733852,7765800,91.886,11.8000001907,11.6000003815,5.5999999046,68.5999984741,64.9000015259,101.6979904175,4.4332789011,6.0019380977,15.4760198593,2,56,5.6980663934,NA,41235,1335
2011,YR2011,Italy,ITA,22.1093763019,54.3899983019,195.3369422475,294140,201.8747841164,36.3999999605,158.1458829538,82.187804878,3.3,35901.252448938,59379449,68.444,27.1000003815,29.1000003815,8.3999996185,73.0999984741,62.2000007629,100.6586532593,7.1329002047,1.6736664639,23.3921394348,0.9,NA,1.4970686089,NA,58060,58
2011,YR2011,Jamaica,JAM,4.293401494,37.4386134148,48.5214298043,10830,249.2925207756,9.8040091205,106.9237356648,73.0763902439,15.2,8484.5856988236,2699838,53.93,23.6000003815,29.5,12.6999998093,74.6999969482,67.6999969482,88.6040802002,2.7900105342,0.9259005328,25.7506103516,41.1,NA,0.2321456989,NA,20,1250
2011,YR2011,Japan,JPN,28.0291725979,79.0541135245,743.9291638172,364555,350.6117787439,50.7924342538,104.274232593,82.5912195122,2.3,34315.7984145976,127817277,91.248,8.8999996185,8,4.5,84.5,73.9000015259,101.7654037476,8.3228140182,1.0237405975,25.279510498,0.3,NA,0.3966555486,NA,2649,176
2011,YR2011,Jordan,JOR,2.9695961359,34.9,25.2386345252,88780,69.6215363821,6.9139438411,111.1631725391,73.5918780488,17,11292.2002859495,6181000,82.724,27.2999992371,31.6000003815,12.8999996185,70.0999984741,43.9000015259,89.0588378906,5.9057476385,4.8054883365,15.0625,2,NA,6.5229146153,NA,2430589,2250
2011,YR2011,Kazakhstan,KAZ,7.4133441935,50.6,6.3418817873,2699700,6.1327554914,26.4989472604,156.7946523537,68.98,17.6,20772.0661241604,16556600,53.581,4.8000001907,5.3000001907,5.4000000954,81.5999984741,77.9000015259,97.120552063,2.2715527398,0.9611238461,NA,8.8,NA,0.7914161545,NA,616,3500
2011,YR2011,Kenya,KEN,0.1009710433,28,3.1407714463,569140,73.8445566996,0.6746615004,66.8146088986,60.370902439,50,2584.8851153196,42027891,23.967,16.7999992371,17,9.3000001907,72.4000015259,67.3000030518,NA,1.6892830334,1.5413633519,NA,6.3,2,0.1802110885,NA,566487,8745
2011,YR2011,Kiribati,KIR,0.9269521411,10,10.0755667506,810,122.5308641975,8.5249370277,13.8921914358,68.2096097561,47,1749.7735380995,99250,43.855,NA,NA,NA,NA,NA,NA,8.5688622754,NA,NA,NA,NA,NA,NA,NA,33
2011,YR2011,"Korea, Dem. Rep.",PRK,NA,0,NA,120410,204.5618387177,4.7906542942,4.0598765205,69.188804878,23.8,NA,24631291,60.316,10.8000001907,9.5,4.5,86.9000015259,82.6999969482,NA,NA,NA,NA,NA,NA,9.2265439708,NA,NA,1052
