"country","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65"
"Macau",14.4,13.7,50.9,11.8,9.2
"Macedonia",17.7,14.1,43.8,12.1,12.4
"Madagascar",40.7,20.6,31.3,4.2,3.2
"Malawi",46.9,20.2,27.1,3.1,2.7
"Malaysia",28.8,16.9,41.2,7.6,5.5
"Maldives",21,23.4,46.5,4.8,4.3
"Mali",47.6,19,26.7,3.7,3
"Malta",15.1,12.6,40.4,14,17.9
"Marshall Islands",36.6,17.5,36.9,5.7,3.4
"Mauritania",39.5,20,32.5,4.5,3.6
"Mauritius",21,15.5,44.1,10.9,8.4
"Mexico",27.9,18.1,40.4,7,6.6
"Micronesia, Federated States of",31.9,20.2,38,6.5,3.4
"Moldova",17.7,14.2,43.9,13.1,11.1
"Monaco",11.7,9.2,35.1,14.5,29.5
"Mongolia",26.8,18.7,44.5,5.9,4.1
"Montenegro",15.2,10.8,47.1,12.9,14
"Montserrat",17.6,21.5,47.9,6.9,6.1
"Morocco",26.7,17.7,42,7.3,6.3
"Mozambique",45.3,21.3,27,3.5,2.9
"Namibia",31.7,23.1,35.9,4.8,4.4
"Nauru",32.5,16.9,42.7,6,1.9
"Nepal",31.6,22.6,35.7,5.6,4.5
"Netherlands",16.9,12.2,40.4,12.9,17.6
"New Caledonia",23.6,17,42.8,8.1,8.5
"New Zealand",20,13.9,40.4,11.4,14.3
"Nicaragua",29.3,22.4,38,5.4,4.8
"Niger",49.8,18.4,25.9,3.3,2.6
"Nigeria",43.2,19.3,30.5,3.9,3.1
"Northern Mariana Islands",25.9,14.5,44.9,10,4.6
"Norway",18.2,13.1,40.8,11.7,16.1
"Oman",30.4,19.9,42.6,3.9,3.3
"Pakistan",33.3,21.5,35.7,5.1,4.3
"Palau",20.5,17.4,46.4,8.6,7.1
"Panama",27.4,17.3,40.1,7.4,7.8
"Papua New Guinea",35,19.7,36.2,5.2,3.9
"Paraguay",26.2,20.5,39.5,7.2,6.6
"Peru",27.3,19.2,39.4,7.3,6.9
"Philippines",33.7,19,37,5.8,4.5
"Poland",14.6,11.9,43.8,14.7,15
"Portugal",15.9,11.4,42.2,11.9,18.6
"Puerto Rico",18.1,14.5,38.5,12,17
"Qatar",12.5,13.4,69.9,3.4,0.9
"Romania",14.6,11.3,45.7,13,15.4
"Russia",16.4,10.7,45.8,13.8,13.3
"Rwanda",42.1,18.9,32.5,4,2.5
"Saint Barthelemy",17.8,6.9,46.1,15,14.2
"Saint Helena, Ascension, and Tristan da Cunha",16.9,11.9,45.1,12.4,13.7
"Saint Kitts and Nevis",21.4,15.4,45.1,10.2,7.9
"Saint Lucia",21.2,16.6,42.9,8.8,10.5
"Saint Martin",26.6,10.8,47.2,8.5,6.9
"Saint Pierre and Miquelon",16.3,8.5,43.5,13.9,17.9
"Saint Vincent and the Grenadines",22.9,16.7,42.6,9.2,8.6
"Samoa",33.4,20.1,35.2,6,5.4
"San Marino",16,10.9,42.4,12,18.8
"Sao Tome and Principe",43.5,19.8,30.3,3.5,2.9
